run_ts_utc,experiment_name,model,feature_set,logloss,accuracy,macro_f1,home_recall,draw_recall,away_recall
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,xgb,core_plus_new_local,0.978896,0.534763,,,,
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,mlp,core_plus_new_local,0.985681,0.522189,,,,
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,xgb,no_market,0.991353,0.517012,,,,
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,mlp,no_market,1.064737,0.470414,,,,
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,xgb,no_elo,0.980148,0.54068,,,,
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,mlp,no_elo,0.985783,0.523669,,,,
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,xgb,no_xg,0.978769,0.534763,,,,
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,mlp,no_xg,1.003847,0.495562,,,,
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,xgb,no_momentum,0.979227,0.534763,,,,
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,mlp,no_momentum,0.984295,0.519231,,,,
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,xgb,no_rest,0.977456,0.538462,,,,
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,mlp,no_rest,0.984321,0.504438,,,,
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,xgb,no_form,0.979431,0.536982,,,,
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,mlp,no_form,0.989251,0.522189,,,,
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,xgb,model_only,0.996581,0.511095,,,,
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,mlp,model_only,0.996204,0.515533,,,,
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,xgb,market_only,0.97598,0.531805,,,,
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,mlp,market_only,0.981,0.531805,,,,
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,xgb,market_plus_context,0.975524,0.532544,,,,
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,mlp,market_plus_context,0.976509,0.54068,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,all_features,0.981113,0.54142,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,all_features,0.993504,0.514793,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,core_18,0.982528,0.54068,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,core_18,0.985627,0.519231,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,no_new_data_features,0.982528,0.54068,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,no_new_data_features,0.985627,0.519231,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,no_new_local_features,0.982969,0.537722,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,no_new_local_features,0.988202,0.522189,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,no_new_local_stats,0.98014,0.535503,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,no_new_local_stats,0.984044,0.517751,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,no_understat_xg,0.980709,0.537722,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,no_understat_xg,0.995729,0.502959,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,no_odds_context,0.98382,0.534763,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,no_odds_context,0.987304,0.515533,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,core_plus_odds,0.979781,0.534763,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,core_plus_odds,0.980572,0.525888,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,core_plus_stats,0.984,0.531065,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,core_plus_stats,1.004785,0.496302,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,core_plus_new_local,0.980709,0.537722,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,core_plus_new_local,0.995729,0.502959,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,core_plus_understat_xg,0.982969,0.537722,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,core_plus_understat_xg,0.988202,0.522189,,,,
